"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour","week_day"
"140","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",640,"2",0,0,0,"18","2"
"141","Fuera CETRAM","female","25-44","Preparatoria","Azcapotzalco","Azcapotzalco","None","Trabajo","3",3,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",176,"1",0,0,0,"17","7"
"142","Dentro CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",4,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",620,"7",0,0,0,"17","3"
"144","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",920,"5",0,0,0,"14","5"
"145","Dentro CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",448,"9",0,0,0,"15","1"
"146","Fuera CETRAM","female","0-17","Preparatoria","Tecamec","Tecamec","None","Estudio","2",5,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",1015,"2",0,0,0,"13","3"
"147","Fuera CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","5",1,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",860,"2",0,0,0,"14","5"
"148","Fuera CETRAM","female","45-64","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Recreacion","2",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",514,"6",0,0,0,"17","2"
"149","Fuera CETRAM","female","18-24","Licenciatura","Tecamec","Azcapotzalco","3 to 4","Estudio","1",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",184,"1",0,0,0,"14","2"
"150","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","1",3,"4","Metro","Taxi","Van","Azteca","Mexipuerto","15",1008,"2",0,0,0,"16","1"
"151","Dentro CETRAM","female","18-24","Licenciatura","Otro","Tecamec","None","Estudio","2",4,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",28,"1",0,0,0,"12","5"
"152","Fuera CETRAM","female","45-64","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",730,"2",0,0,0,"14","7"
"153","Fuera CETRAM","female","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","Mas","Trabajo","2",2,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",694,"2",0,0,0,"18","2"
"154","Fuera CETRAM","female","45-64","Licenciatura","Alvaro Obregon","Tlalnepantla de Baz","Mas","Compra","5",1,"5","Trolebus","Taxi","Bus","El Rosario","Mexico Nueva","35",64,"1",0,0,0,"16","6"
"155","Fuera CETRAM","female","0-17","Primaria","Iztapalapa","Temamatla","1 to 2","Otro","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",871,"6",0,0,0,"13","2"
"156","Fuera CETRAM","female","18-24","Secundaria","Tecamec","Tecamec","1 to 2","Compra","5",5,"5","Peseros","Metro","Van","Azteca","Mexipuerto","15",985,"6",0,0,0,"14","2"
"157","Dentro CETRAM","female","25-44","Secundaria","Alvaro Obregon","Cuajimalpa de Morelos","3 to 4","Recreacion","1",5,"4","BRT","Peseros","Van","El Rosario","El Rosario","15",155,"1",0,0,0,"18","3"
"158","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Recreacion","1",1,"5","Metro","Taxi","Bus","El Rosario","Tacuba","35",646,"6",0,0,0,"14","4"
"159","Dentro CETRAM","female","25-44","Preparatoria","Otro","Azcapotzalco","None","Trabajo","4",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",149,"1",0,0,0,"17","3"
"161","Dentro CETRAM","female","45-64","Primaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","2",1,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",175,"1",0,0,0,"17","3"
"162","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",3,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",737,"2",0,0,0,"18","2"
"163","Fuera CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","2",5,"5","Peseros","Taxi","Van","Azteca","Mexipuerto","15",917,"5",0,0,0,"13","6"
"164","Dentro CETRAM","female","65+","Primaria","Azcapotzalco","Cuauhtemoc","1 to 2","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",320,"2",0,0,0,"14","1"
"165","Fuera CETRAM","female","25-44","Preparatoria","Azcapotzalco","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",515,"9",0,0,0,"16","5"
"166","Fuera CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",601,"7",0,0,0,"18","2"
"167","Dentro CETRAM","female","45-64","Secundaria","Gustavo A. Madero","Atizapan de Zaragoza","1 to 2","Compra","4",4,"4","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",731,"2",0,0,0,"12","5"
"168","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Coacalco de Berriozal","None","Recreacion","1",1,"4","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",369,"6",0,0,0,"16","5"
"170","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",822,"5",0,0,0,"13","2"
"171","Dentro CETRAM","female","25-44","Preparatoria","Tultitlan","Azcapotzalco","None","Trabajo","3",5,"5","Metro","Trolebus","Van","El Rosario","El Rosario","15",150,"1",0,0,0,"18","3"
"172","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Recreacion","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",923,"6",0,0,0,"14","2"
"173","Dentro CETRAM","female","0-17","Secundaria","Zumpango","Otro","1 to 2","Compra","2",3,"5","Peseros","Metro","Van","Azteca","Mexipuerto","15",760,"2",0,0,0,"14","5"
"174","Fuera CETRAM","female","18-24","Preparatoria","Tecamec","Tecamec","None","Otro","3",4,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",966,"2",0,0,0,"13","6"
"175","Fuera CETRAM","female","45-64","Secundaria","Tecamec","Tecamec","3 to 4","Otro","3",4,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",954,"2",0,0,0,"13","6"
"176","Fuera CETRAM","female","45-64","Preparatoria","Benito Juarez","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",572,"7",0,0,0,"13","4"
"177","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Tecamec","3 to 4","Otro","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",385,"2",0,0,0,"16","7"
"178","Dentro CETRAM","female","18-24","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","3 to 4","Trabajo","4",4,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",646,"6",0,0,0,"12","5"
"179","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","4",5,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",445,"9",0,0,0,"17","4"
"180","Dentro CETRAM","female","25-44","Secundaria","Alvaro Obregon","Cuajimalpa de Morelos","3 to 4","Recreacion","1",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",205,"1",0,0,0,"17","3"
"181","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","4",1,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",916,"6",0,0,0,"13","2"
"182","Dentro CETRAM","female","25-44","Preparatoria","Otro","Otro","None","Otro","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",616,"2",0,0,0,"17","4"
"183","Dentro CETRAM","female","45-64","Preparatoria","Atizapan de Zaragoza","Tultitlan","None","Recreacion","3",3,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",753,"6",0,0,0,"18","7"
"184","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","4",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",462,"0",0,0,0,"17","2"
"185","Dentro CETRAM","female","18-24","Preparatoria","Naucalpan de Juarez","Naucalpan de Juarez","1 to 2","Trabajo","4",4,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",320,"2",0,0,0,"15","1"
"186","Dentro CETRAM","female","65+","Preparatoria","Tecamec","Ecatepec de Morelos","3 to 4","Recreacion","4",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1016,"2",0,0,0,"13","1"
"187","Dentro CETRAM","female","18-24","Licenciatura","Texcoco","Ecatepec de Morelos","None","Estudio","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",910,"5",0,0,0,"14","6"
"188","Fuera CETRAM","female","0-17","Secundaria","Coacalco de Berriozal","Coacalco de Berriozal","1 to 2","Otro","3",2,"4","Taxi","Peseros","Bus","El Rosario","El Rosario","35",855,"5",0,0,0,"13","2"
"189","Dentro CETRAM","female","65+","Preparatoria","Benito Juarez","Tlalnepantla de Baz","1 to 2","Recreacion","5",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",225,"1",0,0,0,"14","1"
"190","Dentro CETRAM","female","18-24","Preparatoria","Naucalpan de Juarez","Naucalpan de Juarez","1 to 2","Trabajo","3",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",320,"2",0,0,0,"15","1"
"191","Fuera CETRAM","female","25-44","Licenciatura","Gustavo A. Madero","Azcapotzalco","3 to 4","Estudio","1",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",200,"1",0,0,0,"14","2"
"192","Dentro CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",3,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",781,"5",0,0,0,"15","4"
"193","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",723,"5",0,0,0,"15","4"
"194","Dentro CETRAM","female","18-24","Preparatoria","Gustavo A. Madero","Tecamec","None","Estudio","4",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",378,"6",0,0,0,"12","5"
"195","Fuera CETRAM","female","0-17","Preparatoria","Tecamec","Tecamec","None","Otro","3",3,"5","Taxi","Trolebus","Van","Azteca","Heroes Tecamec","15",569,"9",0,0,0,"13","2"
"196","Dentro CETRAM","female","45-64","Licenciatura","Tecamec","Tecamec","None","Trabajo","3",5,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",1013,"2",0,0,0,"16","1"
"197","Fuera CETRAM","female","45-64","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","5",4,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",897,"6",0,0,0,"13","6"
"198","Dentro CETRAM","female","25-44","Maestria y Doctorado","Otro","Azcapotzalco","3 to 4","Recreacion","4",3,"5","BRT","Trolebus","Van","El Rosario","El Rosario","15",114,"1",0,0,0,"18","3"
"199","Dentro CETRAM","female","25-44","Licenciatura","Gustavo A. Madero","Azcapotzalco","None","Trabajo","1",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",143,"1",0,0,0,"18","3"
"200","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","2",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1026,"2",0,0,0,"17","6"
"201","Dentro CETRAM","female","65+","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","4",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",491,"5",0,0,0,"13","2"
"202","Fuera CETRAM","female","25-44","Secundaria","Tecamec","Ecatepec de Morelos","None","Trabajo","3",3,"5","Peseros","Taxi","Van","Azteca","Mexipuerto","15",1032,"6",0,0,0,"17","4"
"203","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",483,"9",0,0,0,"17","5"
"204","Dentro CETRAM","female","18-24","Preparatoria","Cuautitlan Izcalli","Azcapotzalco","1 to 2","Trabajo","5",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",133,"1",0,0,0,"18","3"
"205","Dentro CETRAM","female","18-24","Secundaria","Cuautitlan Izcalli","Azcapotzalco","Mas","Trabajo","5",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",158,"1",0,0,0,"18","3"
"206","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","4",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",617,"7",0,0,0,"16","7"
"207","Dentro CETRAM","female","18-24","Preparatoria","Naucalpan de Juarez","Naucalpan de Juarez","1 to 2","Trabajo","3",4,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",330,"2",0,0,0,"15","1"
"209","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Azcapotzalco","3 to 4","Estudio","2",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",228,"1",0,0,0,"14","2"
"210","Fuera CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",3,"5","Peseros","Taxi","Van","Azteca","Mexipuerto","15",821,"2",0,0,0,"14","2"
"211","Dentro CETRAM","female","0-17","Preparatoria","Gustavo A. Madero","Tecamec","1 to 2","Recreacion","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",409,"2",0,0,0,"16","4"
"212","Dentro CETRAM","female","45-64","Primaria","Nicolas Romero","Cuauhtemoc","None","Trabajo","5",3,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",191,"1",0,0,0,"17","3"
"213","Fuera CETRAM","female","0-17","Licenciatura","Tecamec","Coacalco de Berriozal","None","Trabajo","5",3,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",1047,"2",0,0,0,"17","5"
"214","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",875,"2",0,0,0,"18","3"
"215","Dentro CETRAM","female","18-24","Licenciatura","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Estudio","3",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",162,"1",0,0,0,"18","3"
"216","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","5",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",468,"9",0,0,0,"12","6"
"217","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","4",3,"4","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",867,"2",0,0,0,"15","2"
"218","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",508,"9",0,0,0,"13","4"
"219","Dentro CETRAM","female","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",599,"7",0,0,0,"14","3"
"220","Fuera CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","3",1,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",761,"2",0,0,0,"13","2"
"221","Dentro CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","4",4,"4","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",596,"2",0,0,0,"13","5"
"222","Dentro CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","1",2,"4","Taxi","Peseros","Van","El Rosario","El Rosario","15",901,"5",0,0,0,"13","7"
"223","Dentro CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Cuautitlan","Mas","Recreacion","3",1,"5","BRT","Metro","Van","El Rosario","El Rosario","15",174,"1",0,0,0,"18","3"
"224","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",1,"3","Taxi","Peseros","Van","Azteca","Mexipuerto","15",926,"2",0,0,0,"18","3"
"225","Fuera CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Coacalco de Berriozal","None","Otro","1",2,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",580,"9",0,0,0,"16","5"
"226","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","Mas","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",729,"2",0,0,0,"18","2"
"227","Fuera CETRAM","female","25-44","Primaria","Azcapotzalco","Azcapotzalco","None","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",419,"2",0,0,0,"17","7"
"228","Fuera CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Tecamec","1 to 2","Estudio","3",2,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",465,"9",0,0,0,"12","5"
"229","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","1",1,"5","Metro","BRT","Van","Azteca","Heroes Tecamec","15",784,"5",0,0,0,"13","4"
"230","Fuera CETRAM","female","25-44","Sin estudios","Coacalco de Berriozal","Azcapotzalco","1 to 2","Otro","4",5,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",756,"6",0,0,0,"13","2"
"231","Dentro CETRAM","female","45-64","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Recreacion","1",1,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",456,"4",0,0,0,"18","7"
"232","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",792,"5",0,0,0,"18","6"
"233","Dentro CETRAM","female","65+","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","1",3,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",1056,"0",0,0,0,"13","6"
"234","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",907,"6",0,0,0,"14","1"
"235","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",613,"7",0,0,0,"15","6"
"236","Fuera CETRAM","female","25-44","Primaria","Tecamec","Ecatepec de Morelos","None","Compra","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1020,"2",0,0,0,"14","2"
"237","Fuera CETRAM","female","0-17","Preparatoria","Coacalco de Berriozal","Coacalco de Berriozal","1 to 2","Otro","3",3,"4","Taxi","Peseros","Bus","El Rosario","El Rosario","35",855,"5",0,0,0,"13","2"
"238","Dentro CETRAM","female","18-24","Licenciatura","Naucalpan de Juarez","Tlalnepantla de Baz","None","Estudio","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",203,"1",0,0,0,"18","3"
"239","Fuera CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","3 to 4","Compra","1",2,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",1010,"2",0,0,0,"14","2"
"241","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","Mas","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",1017,"2",0,0,0,"13","3"
"242","Fuera CETRAM","female","25-44","Maestria y Doctorado","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",4,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",234,"1",0,0,0,"12","2"
"244","Dentro CETRAM","female","18-24","Preparatoria","Azcapotzalco","Alvaro Obregon","1 to 2","Compra","3",2,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",164,"1",0,0,0,"18","3"
"245","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","2",2,"5","Trolebus","BRT","Van","Azteca","Heroes Tecamec","15",959,"2",0,0,0,"13","2"
"246","Fuera CETRAM","female","0-17","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Recreacion","1",1,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",856,"5",0,0,0,"13","4"
"247","Fuera CETRAM","female","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1025,"2",0,0,0,"17","4"
"248","Dentro CETRAM","female","25-44","Licenciatura","Tecamec","Tecamec","None","Otro","2",2,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",948,"2",0,0,0,"14","1"
"249","Fuera CETRAM","female","45-64","Preparatoria","Tecamec","Ecatepec de Morelos","None","Compra","2",5,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",941,"5",0,0,0,"14","6"
"250","Fuera CETRAM","female","25-44","Secundaria","Tlalnepantla de Baz","Tlalnepantla de Baz","1 to 2","Estudio","3",3,"5","Trolebus","Trolebus","Bus","El Rosario","El Rosario","35",794,"0",0,0,0,"14","7"
"251","Fuera CETRAM","female","45-64","Primaria","Iztapalapa","Azcapotzalco","None","Compra","4",5,"5","BRT","Metro","Bus","El Rosario","El Rosario","35",86,"1",0,0,0,"14","2"
"252","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Otro","3",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",507,"9",0,0,0,"16","7"
"253","Fuera CETRAM","female","18-24","Secundaria","Tecamec","Coacalco de Berriozal","1 to 2","Otro","1",1,"3","Taxi","Peseros","Van","Azteca","Mexipuerto","15",1046,"2",0,0,0,"17","5"
"254","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",912,"5",0,0,0,"14","5"
"255","Fuera CETRAM","female","45-64","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","1",3,"3","Taxi","Peseros","Van","El Rosario","El Rosario","15",745,"6",0,0,0,"13","4"
"257","Dentro CETRAM","female","45-64","Preparatoria","Azcapotzalco","Naucalpan de Juarez","3 to 4","Recreacion","3",2,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",330,"2",0,0,0,"15","1"
"258","Dentro CETRAM","female","45-64","Preparatoria","Alvaro Obregon","Otro","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",570,"2",0,0,0,"17","4"
"259","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Tlalnepantla de Baz","1 to 2","Otro","3",3,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",756,"6",0,0,0,"13","2"
"260","Fuera CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","5",3,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",887,"2",0,0,0,"14","5"
"261","Fuera CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Coacalco de Berriozal","None","Otro","3",3,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",1036,"5",0,0,0,"17","5"
"262","Dentro CETRAM","male","25-44","Licenciatura","Naucalpan de Juarez","Atizapan de Zaragoza","None","Estudio","2",3,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"263","Fuera CETRAM","male","18-24","Licenciatura","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","1",1,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",449,"2",0,0,0,"14","7"
"264","Fuera CETRAM","male","45-64","Secundaria","Alvaro Obregon","Atizapan de Zaragoza","None","Trabajo","1",1,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",454,"4",0,0,0,"17","2"
"265","Dentro CETRAM","male","18-24","Secundaria","Tecamec","Iztapalapa","None","Trabajo","5",1,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",1056,"0",0,0,0,"14","6"
"266","Dentro CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Compra","4",3,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",967,"2",0,0,0,"14","4"
"267","Dentro CETRAM","male","18-24","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Trabajo","4",5,"5","BRT","Metro","Van","El Rosario","Mexico Nueva","15",691,"2",0,0,0,"13","5"
"268","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","2",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",704,"5",0,0,0,"15","2"
"269","Dentro CETRAM","male","25-44","Preparatoria","Tultitlan","Azcapotzalco","None","Trabajo","2",5,"4","Trolebus","Peseros","Van","El Rosario","El Rosario","15",155,"1",0,0,0,"18","3"
"270","Dentro CETRAM","male","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",495,"5",0,0,0,"17","4"
"271","Dentro CETRAM","male","18-24","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Estudio","4",4,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",590,"2",0,0,0,"13","4"
"272","Dentro CETRAM","male","45-64","Secundaria","Coyoacan","Atizapan de Zaragoza","1 to 2","Otro","5",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",506,"2",0,0,0,"16","4"
"273","Dentro CETRAM","male","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","1 to 2","Trabajo","1",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",962,"2",0,0,0,"13","6"
"274","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Trabajo","3",3,"4","Metro","Taxi","Bus","El Rosario","El Rosario","35",707,"6",0,0,0,"18","4"
"275","Dentro CETRAM","male","45-64","Preparatoria","Chalco","Ecatepec de Morelos","None","Trabajo","5",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1056,"0",0,0,0,"13","6"
"276","Fuera CETRAM","male","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",808,"5",0,0,0,"14","3"
