"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour_sin","hour_cos","week_day","latitude","longitude"
"474","Fuera CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","None","Compra","5",5,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",10.0281812536135,"2",12,4,3,-0.258819,-0.965926,"3",19.62368,-99.04212
"116","Dentro CETRAM","female","25-44","Preparatoria","Venustiano Carranza","Otro","None","Trabajo","4",4,"4","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",3.52439833468498,"6",0,0,0,-0.965926,-0.258819,"4",19.52324,-99.22709
"469","Dentro CETRAM","female","0-17","Secundaria","Tecamec","Tecamec","1 to 2","Otro","3",3,"3","Taxi","Metro","Van","Azteca","Mexipuerto","15",10.0786706971889,"2",12,9,3,-0.866025,-0.500000,"1",19.62509,-99.02289
"198","Dentro CETRAM","female","25-44","Maestria y Doctorado","Otro","Azcapotzalco","3 to 4","Recreacion","4",3,"5","BRT","Trolebus","Van","El Rosario","El Rosario","15",0.0865890903509036,"1",0,0,0,-1.000000,-0.000000,"3",19.5049,-99.20068
"440","Dentro CETRAM","male","25-44","Secundaria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","4",4,"5","Metro","BRT","Van","El Rosario","El Rosario","15",0.0854659586712842,"1",0,0,0,-0.965926,-0.258819,"3",19.50455,-99.20079
"839","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Recreacion","4",2,"4","BRT","Peseros","Van","El Rosario","El Rosario","15",5.06601230890022,"6",6,4,14,-0.258819,-0.965926,"1",19.54042,-99.2297
"784","Dentro CETRAM","female","25-44","Licenciatura","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Trabajo","1",1,"3","Taxi","Peseros","Van","El Rosario","El Rosario","15",8.61270449871637,"5",3,3,12,-0.500000,-0.866025,"4",19.55337,-99.26373
"47","Fuera CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Nicolas Romero","None","Otro","5",3,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",5.93452436746887,"6",0,0,0,-0.258819,-0.965926,"4",19.54584,-99.23578
"931","Fuera CETRAM","male","45-64","Secundaria","Nicolas Romero","Atizapan de Zaragoza","None","Trabajo","3",4,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",8.54216078908979,"2",13,7,22,-0.965926,-0.258819,"5",19.56392,-99.25163
"542","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",7.16986401171035,"5",10,6,5,-0.258819,-0.965926,"2",19.5985,-99.03628
"970","Fuera CETRAM","male","65+","Maestria y Doctorado","Azcapotzalco","Tlalnepantla de Baz","None","Trabajo","2",2,"5","BRT","Taxi","Bus","El Rosario","Mexico Nueva","35",1.4934044288991,"2",16,0,29,-0.258819,-0.965926,"4",19.51468,-99.20926
"59","Dentro CETRAM","female","18-24","Licenciatura","Zumpango","Atizapan de Zaragoza","None","Trabajo","3",4,"4","Trolebus","Taxi","Van","El Rosario","Mexico Nueva","15",5.29668300993459,"6",0,0,0,0.000000,-1.000000,"5",19.54142,-99.2319
"12","Fuera CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Cuauhtemoc","None","Recreacion","4",3,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",0.468884658824342,"3",0,0,0,-0.258819,-0.965926,"5",19.50348,-99.20432
"97","Dentro CETRAM","female","18-24","Licenciatura","Naucalpan de Juarez","Azcapotzalco","None","Estudio","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.0892624143876968,"1",0,0,0,-1.000000,-0.000000,"3",19.50493,-99.20069
"940","Fuera CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Cuajimalpa de Morelos","1 to 2","Trabajo","3",4,"4","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",4.67535414580666,"6",6,3,24,-0.965926,-0.258819,"2",19.53959,-99.22454
"460","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",3,"5","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",8.88394801870666,"6",13,5,2,-0.866025,-0.500000,"3",19.61396,-99.03686
"487","Fuera CETRAM","male","18-24","Licenciatura","Tecamec","Tecamec","None","Compra","4",5,"4","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",12.0902329729051,"6",12,4,3,-0.258819,-0.965926,"3",19.64039,-99.05394
"4","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Compra","4",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",0.353599816707523,"3",0,0,0,-0.258819,-0.965926,"3",19.50336,-99.20313
"358","Dentro CETRAM","male","25-44","Preparatoria","Iztapalapa","Atizapan de Zaragoza","None","Trabajo","4",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",1.06776366373794,"2",0,0,0,0.000000,-1.000000,"6",19.51256,-99.2055
"234","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",8.93084361208219,"6",0,0,0,-0.500000,-0.866025,"1",19.61412,-99.03912
"622","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",10.9636625116958,"2",8,5,7,-0.866025,-0.500000,"1",19.63315,-99.02673
"552","Dentro CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",5.38898776136878,"5",10,6,5,-0.965926,-0.258819,"2",19.58094,-99.04239
"457","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",7.4821223682895,"6",13,8,2,-0.866025,-0.500000,"1",19.60158,-99.03379
"617","Dentro CETRAM","female","25-44","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Otro","3",2,"3","Taxi","Metro","Van","El Rosario","Mexico Nueva","15",7.0207766849636,"6",8,3,7,-0.258819,-0.965926,"2",19.55377,-99.24186
"364","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Compra","4",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",0.764640905430787,"2",0,0,0,-0.500000,-0.866025,"7",19.50011,-99.2056
"973","Fuera CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","None","Compra","4",4,"4","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",8.63206120888402,"5",6,0,29,-0.500000,-0.866025,"6",19.55368,-99.2637
"927","Fuera CETRAM","female","45-64","Secundaria","Atizapan de Zaragoza","Gustavo A. Madero","1 to 2","Compra","3",2,"5","Taxi","Metro","Bus","El Rosario","El Rosario","35",0.0825128108513757,"1",9,3,21,-0.965926,0.258819,"1",19.50486,-99.20066
"685","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","3",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",3.56216852881502,"2",6,3,9,-0.866025,-0.500000,"2",19.5571,-99.05164
"626","Fuera CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","2",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",6.19668412424732,"2",8,5,7,-1.000000,-0.000000,"6",19.58939,-99.03803
"862","Fuera CETRAM","female","25-44","Licenciatura","Tultitlan","Benito Juarez","None","Trabajo","5",3,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",2.0744419913569,"5",18,5,17,-0.965926,-0.258819,"5",19.51849,-99.21306
"323","Fuera CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Nezahualcoyotl","1 to 2","Otro","3",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",3.19171475100496,"5",0,0,0,-0.500000,-0.866025,"6",19.55249,-99.05127
"654","Fuera CETRAM","female","45-64","Licenciatura","Nextlalplan","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",0.789760936604539,"9",7,7,8,-0.866025,-0.500000,"5",19.54018,-99.03209
"729","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","1",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.0430025758150563,"6",4,2,11,-0.866025,-0.500000,"2",19.53457,-99.0279
"659","Dentro CETRAM","male","45-64","Secundaria","Tlalnepantla de Baz","Tlalnepantla de Baz","1 to 2","Compra","3",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.0825128108513757,"1",7,2,8,-1.000000,-0.000000,"2",19.50486,-99.20066
"232","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",6.94344959129971,"5",0,0,0,-1.000000,-0.000000,"6",19.59631,-99.0373
"218","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1.61814283678343,"9",0,0,0,-0.258819,-0.965926,"4",19.54404,-99.0392
"628","Fuera CETRAM","male","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","5",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",1.59590312046513,"9",8,5,7,-1.000000,-0.000000,"6",19.54432,-99.03865
"249","Fuera CETRAM","female","45-64","Preparatoria","Tecamec","Ecatepec de Morelos","None","Compra","2",5,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",9.367627032725,"5",0,0,0,-0.500000,-0.866025,"6",19.61319,-99.05957
"247","Fuera CETRAM","female","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",11.2948846540072,"2",0,0,0,-0.965926,-0.258819,"4",19.63588,-99.03507
"582","Dentro CETRAM","female","25-44","Licenciatura","Tultitlan","Ecatepec de Morelos","None","Otro","3",1,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",6.48382351454201,"5",9,6,6,-0.500000,-0.866025,"7",19.59182,-99.03915
"503","Dentro CETRAM","female","65+","Primaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",4,"5","Peseros","Taxi","Van","El Rosario","Mexico Nueva","15",9.3817625901953,"9",11,4,4,-0.965926,-0.258819,"1",19.56295,-99.26453
"245","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","2",2,"5","Trolebus","BRT","Van","Azteca","Heroes Tecamec","15",9.75595118963649,"2",0,0,0,-0.258819,-0.965926,"2",19.62225,-99.02463
"663","Dentro CETRAM","male","25-44","Licenciatura","Gustavo A. Madero","Tecamec","None","Trabajo","2",4,"5","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",0.223957670215066,"6",7,3,8,-0.258819,-0.965926,"2",19.53644,-99.02674
"461","Dentro CETRAM","male","18-24","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Trabajo","4",3,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",13,1,2,-0.965926,-0.258819,"3",19.50488,-99.20086
"688","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",7.01985975673341,"5",6,3,9,-0.965926,-0.258819,"3",19.59702,-99.03719
"205","Dentro CETRAM","female","18-24","Secundaria","Cuautitlan Izcalli","Azcapotzalco","Mas","Trabajo","5",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.0896238729904944,"1",0,0,0,-1.000000,-0.000000,"3",19.505,-99.20064
"425","Dentro CETRAM","male","18-24","Preparatoria","Nicolas Romero","Tlalnepantla de Baz","3 to 4","Recreacion","3",4,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",4.91972465418316,"6",0,0,0,-0.258819,-0.965926,"5",19.53931,-99.22894
"801","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","1",1,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",7.64889727265949,"5",27,1,13,-1.000000,-0.000000,"6",19.55718,-99.2469
"708","Dentro CETRAM","female","25-44","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",0.0825128108513757,"1",5,3,10,0.000000,-1.000000,"3",19.50486,-99.20066
"635","Dentro CETRAM","male","25-44","Secundaria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","4",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",9.17598152467263,"0",8,5,7,-0.258819,-0.965926,"7",19.61707,-99.02647
"772","Fuera CETRAM","male","25-44","Licenciatura","Azcapotzalco","Alvaro Obregon","1 to 2","Trabajo","3",4,"5","Trolebus","Metro","Bus","El Rosario","Mexico Nueva","35",0.411221382646678,"3",23,11,12,-1.000000,-0.000000,"5",19.50162,-99.20245
"923","Dentro CETRAM","female","45-64","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Recreacion","1",1,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",0.94205096330427,"2",14,5,21,-1.000000,-0.000000,"7",19.50151,-99.20839
"912","Fuera CETRAM","female","45-64","Primaria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Otro","3",3,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0825128108513757,"1",10,2,20,-1.000000,-0.000000,"1",19.50486,-99.20066
"213","Fuera CETRAM","female","0-17","Licenciatura","Tecamec","Coacalco de Berriozal","None","Trabajo","5",3,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",16.1769738414172,"2",0,0,0,-0.965926,-0.258819,"5",19.6609,-99.10405
"512","Dentro CETRAM","female","25-44","Preparatoria","Naucalpan de Juarez","Atizapan de Zaragoza","None","Trabajo","1",2,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",7.03660434377862,"6",11,6,4,-0.500000,-0.866025,"4",19.55487,-99.24061
"908","Fuera CETRAM","female","25-44","Licenciatura","Azcapotzalco","Tlalnepantla de Baz","1 to 2","Compra","2",2,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",1.84181123830089,"2",20,0,20,-0.500000,-0.866025,"5",19.50704,-99.21734
"769","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",1,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",0.346931213563102,"3",28,6,12,-0.258819,-0.965926,"3",19.50338,-99.20307
"746","Dentro CETRAM","male","45-64","Preparatoria","Atizapan de Zaragoza","Tlalpan","None","Trabajo","3",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",6.33153185498573,"6",4,3,11,-1.000000,-0.000000,"6",19.55021,-99.23599
"791","Dentro CETRAM","male","25-44","Licenciatura","Atizapan de Zaragoza","Tlalnepantla de Baz","None","Trabajo","4",5,"3","Peseros","Taxi","Van","El Rosario","Mexico Nueva","15",0.0825128108513757,"1",3,0,12,-0.258819,-0.965926,"3",19.50486,-99.20066
"26","Dentro CETRAM","female","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Estudio","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",2.02404912208533,"5",0,0,0,-0.866025,-0.500000,"7",19.51451,-99.2161
"905","Fuera CETRAM","male","45-64","Licenciatura","Tlalnepantla de Baz","Naucalpan de Juarez","None","Recreacion","3",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",1.89771762086004,"6",11,4,19,-0.965926,-0.258819,"2",19.51972,-99.20815
"719","Dentro CETRAM","male","18-24","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Estudio","5",3,"5","Metro","BRT","Van","El Rosario","Mexico Nueva","15",9.3353025726073,"9",5,3,10,-0.258819,-0.965926,"6",19.56598,-99.26063
"434","Fuera CETRAM","male","18-24","Secundaria","Tecamec","Tecamec","3 to 4","Otro","3",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",10.2649007191948,"2",0,0,0,-0.258819,-0.965926,"6",19.62658,-99.01975
"662","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",1,"4","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",21.2102825961171,"0",7,2,8,-0.500000,-0.866025,"7",19.44199,-99.20441
"246","Fuera CETRAM","female","0-17","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Recreacion","1",1,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",8.03524670265304,"5",0,0,0,-0.258819,-0.965926,"4",19.55711,-99.25253
"374","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","4",4,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",9.67557894255407,"2",0,0,0,-0.500000,-0.866025,"5",19.62153,-99.02474
"761","Fuera CETRAM","female","45-64","Sin estudios","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Trabajo","5",5,"5","Peseros","Taxi","Bus","El Rosario","Mexico Nueva","35",0.346931213563102,"3",28,6,12,-0.258819,-0.965926,"3",19.50338,-99.20307
"618","Fuera CETRAM","female","25-44","Maestria y Doctorado","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","2",1,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",9.19815875668545,"0",8,5,7,-0.965926,-0.258819,"6",19.61719,-99.02351
"590","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","3",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",8.68242958544796,"2",9,4,6,-0.707107,-0.707107,"1",19.60777,-99.05629
"316","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Otro","3",4,"4","Metro","Taxi","Van","Azteca","Mexipuerto","15",12.0881878727573,"6",0,0,0,-0.258819,-0.965926,"3",19.64036,-99.05399
"88","Dentro CETRAM","female","18-24","Secundaria","Azcapotzalco","Azcapotzalco","None","Compra","3",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",0.0890829078361104,"1",0,0,0,-1.000000,-0.000000,"3",19.50488,-99.20072
"310","Fuera CETRAM","male","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Compra","3",3,"5","Trolebus","Taxi","Van","Azteca","Heroes Tecamec","15",10.4006472546253,"2",0,0,0,-0.258819,-0.965926,"2",19.62749,-99.01627
"283","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","3",4,"5","Metro","BRT","Van","Azteca","Heroes Tecamec","15",7.1501334703888,"5",0,0,0,-0.258819,-0.965926,"2",19.59831,-99.03637
"752","Fuera CETRAM","male","18-24","Preparatoria","Venustiano Carranza","Ecatepec de Morelos","None","Otro","5",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.122199654641551,"6",4,1,11,0.000000,-1.000000,"3",19.53546,-99.02683
"781","Dentro CETRAM","male","25-44","Licenciatura","Tlalpan","Atizapan de Zaragoza","None","Trabajo","4",4,"5","Metro","Taxi","Van","El Rosario","El Rosario","15",3.55411497413107,"6",8,3,12,-0.866025,-0.500000,"5",19.52463,-99.22631
"702","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Compra","3",5,"5","BRT","Trolebus","Bus","El Rosario","El Rosario","35",0.469902298484719,"3",30,13,10,-0.500000,-0.866025,"2",19.50348,-99.20433
"838","Fuera CETRAM","male","25-44","Primaria","Azcapotzalco","Nicolas Romero","None","Trabajo","5",5,"3","Metro","Metro","Bus","El Rosario","Mexico Nueva","35",0.830051020355777,"4",16,9,14,-0.866025,-0.500000,"4",19.50571,-99.20779
"553","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Otro","None","Trabajo","3",1,"3","Metro","Taxi","Van","Azteca","Mexipuerto","15",4.10293947514754,"5",10,3,5,-0.965926,-0.258819,"4",19.56778,-99.04452
"698","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",5,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",0.0737684073138101,"2",6,1,9,-0.500000,-0.866025,"3",19.53514,-99.02782
"732","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","2",2,"4","Taxi","Peseros","Van","Azteca","Mexipuerto","15",2.61910068682001,"7",4,0,11,-1.000000,-0.000000,"4",19.54911,-99.04714
"248","Dentro CETRAM","female","25-44","Licenciatura","Tecamec","Tecamec","None","Otro","2",2,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",9.45357591355358,"2",0,0,0,-0.500000,-0.866025,"1",19.61956,-99.02597
"84","Dentro CETRAM","female","0-17","Preparatoria","Atizapan de Zaragoza","Cuautitlan Izcalli","Mas","Compra","3",1,"5","BRT","Metro","Van","El Rosario","El Rosario","15",0.0904332377398652,"1",0,0,0,-1.000000,-0.000000,"3",19.50492,-99.20071
"666","Fuera CETRAM","female","18-24","Licenciatura","Texcoco","Azcapotzalco","None","Recreacion","1",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",1.70397780807508,"6",26,6,9,-1.000000,-0.000000,"2",19.51338,-99.21322
"455","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",5,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",8.0131559652801,"6",13,5,2,-0.866025,-0.500000,"3",19.60625,-99.03521
"137","Dentro CETRAM","female","45-64","Licenciatura","Coyoacan","Atizapan de Zaragoza","1 to 2","Otro","5",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",1.9609194705338,"7",0,0,0,-0.866025,-0.500000,"4",19.51597,-99.21418
"718","Dentro CETRAM","male","45-64","Preparatoria","Atizapan de Zaragoza","Atenco","None","Otro","2",3,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",0.0825128108513757,"1",5,0,10,-0.258819,-0.965926,"3",19.50486,-99.20066
"415","Dentro CETRAM","male","18-24","Licenciatura","Venustiano Carranza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",0,0,0,-0.866025,-0.500000,"3",19.50488,-99.20086
"340","Dentro CETRAM","male","45-64","Preparatoria","Tecamec","Gustavo A. Madero","1 to 2","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",9.66743226899542,"2",0,0,0,-0.500000,-0.866025,"6",19.62146,-99.02486
"156","Fuera CETRAM","female","18-24","Secundaria","Tecamec","Tecamec","1 to 2","Compra","5",5,"5","Peseros","Metro","Van","Azteca","Mexipuerto","15",10.4586120803171,"6",0,0,0,-0.500000,-0.866025,"2",19.62852,-99.02311
"777","Fuera CETRAM","male","18-24","Secundaria","Tlalnepantla de Baz","Atizapan de Zaragoza","1 to 2","Trabajo","3",3,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",3.81444983672559,"6",18,4,12,-1.000000,-0.000000,"1",19.53092,-99.22318
"726","Dentro CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Recreacion","3",1,"5","Trolebus","Taxi","Van","El Rosario","El Rosario","15",7.61097293779818,"5",9,8,11,-0.500000,-0.866025,"1",19.55709,-99.24645
"2","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",3.52066523217912,"6",0,0,0,-0.707107,-0.707107,"5",19.52147,-99.22833
"754","Fuera CETRAM","male","25-44","Preparatoria","Coacalco de Berriozal","Ecatepec de Morelos","1 to 2","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",10.8712386351395,"5",4,0,11,-1.000000,-0.000000,"5",19.62232,-99.07321
"235","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",2.88506611147571,"7",0,0,0,-0.707107,-0.707107,"6",19.5487,-99.05057
"892","Fuera CETRAM","female","18-24","Preparatoria","Tlalnepantla de Baz","Azcapotzalco","None","Recreacion","3",4,"5","Trolebus","Taxi","Bus","El Rosario","Mexico Nueva","35",3.45925419590447,"6",12,6,18,-0.965926,-0.258819,"2",19.53554,-99.20204
"715","Fuera CETRAM","female","25-44","Preparatoria","Coacalco de Berriozal","Coacalco de Berriozal","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",14.2972716807975,"2",5,1,10,-0.965926,-0.258819,"1",19.6427,-99.10131
"504","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Naucalpan de Juarez","None","Recreacion","4",5,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",3.25223676978287,"2",11,7,4,-0.965926,0.258819,"6",19.52459,-99.22252
"145","Dentro CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.754862453998511,"9",0,0,0,-0.707107,-0.707107,"1",19.53987,-99.03197
"343","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1.64701576237056,"9",0,0,0,-0.965926,-0.258819,"5",19.54423,-99.03939
"830","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Compra","4",5,"1","Peseros","BRT","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",26,9,14,-0.500000,-0.866025,"3",19.50328,-99.20444
"58","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.368729839803195,"9",0,0,0,0.000000,-1.000000,"5",19.53771,-99.02857
"631","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Gustavo A. Madero","1 to 2","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",9.1905262640851,"0",8,5,7,-0.965926,-0.258819,"6",19.61712,-99.02348
"404","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","5",3,"5","Peseros","BRT","Van","Azteca","Mexipuerto","15",7.00714961572971,"6",0,0,0,-0.500000,-0.866025,"2",19.59638,-99.04043
